,cep,up_lat,up_long
423,02229000,-23.4702144,-46.57285
424,02215000,-23.0333906,-45.542663
425,02259000,-19.4303025,-42.5949624
426,02228000,-23.4749076,-46.5725943
427,02254000,-23.4796202,-46.5922758
428,02218000,-23.4879401,-46.5860392
429,02247000,-19.8643946,-43.9508713
430,02226000,-23.4821102,-46.5733363
431,02274000,-3.3129901,-61.2108586
432,02220000,-19.9078643,-43.9380522
433,02217000,-22.8701749,-43.2868758
434,02265000,-23.4667047,-46.583936
435,02276000,-23.460492,-46.583126
436,02242000,-23.4954359,-46.6107416
437,02269000,-23.4718377,-46.5962835
438,02221000,-23.4793993,-46.5820192
439,02279000,-23.4617466,-46.5776367
440,02249000,-23.4890937,-46.5971608
441,02237000,-22.845327,-43.3534181
442,02206000,-23.4809981,-46.6004443
443,02258000,-23.493936,-46.5978175
444,02236000,-23.4736671,-46.5658204
445,02205000,-23.4854208,-46.5894987
446,02241000,-23.4913,-46.6046223
447,02219000,-23.489283,-46.584537
448,02257000,-23.4725257,-46.5820889
449,02230000,-23.4836599,-46.5641493
450,02210000,-23.484579,-46.5807009
451,02266000,-18.9336008,-48.2951956
452,02211000,-3.7841235,-38.5468432
453,02280000,-22.8969313,-43.1839501
454,02278000,-23.4614656,-46.5807755
455,02264000,-22.8269933,-43.4148938
456,02201000,-23.493936,-46.5978175
457,02253000,-23.4787339,-46.5955862
458,02281000,-23.4514572,-46.5717407
459,02248000,-19.8505519,-43.8927432
460,02255000,-23.4757777,-46.5911474
461,02277000,-23.4644752,-46.5809386
462,02272000,-23.4707713,-46.5868625
463,02271000,-23.4671236,-46.5907038
464,02282000,-20.2471796,-42.0265272
465,02224000,-22.8280897,-43.2902075
466,02275000,-22.8760818,-43.6292718
467,02233000,-22.8653873,-43.3751315
468,02209000,-23.4821896,-46.5903887
469,02212000,-23.4949193,-46.5890694
470,02288000,-23.4339071,-46.571098
471,02260000,-23.469766,-46.5740515
472,02234000,-22.8875914,-43.5888056
473,02213000,-23.4937424,-46.585461
474,02202000,-23.4937232,-46.5959689
475,02262000,-19.4777158,-42.5575758
476,02216000,-23.4915042,-46.5821248
477,02214000,-23.4913564,-46.5882777
478,02268000,-23.4682612,-46.5939678
479,02239000,-23.4952623,-46.6119425
480,02252000,-23.4781589,-46.5878146
481,02240000,-23.4797955,-46.6037576
482,02231000,-23.477593,-46.5642757
483,02290000,-3.8471197,-38.5303118
484,02284000,-23.460156,-46.5713846
485,02289000,-23.4188427,-46.5812509
486,02286000,-23.4114195,-46.5709509
487,02309000,-23.4739047,-46.6058037
488,02377000,-7.1903568,-39.3282028
489,02371000,-20.3471677,-40.3493415
490,02323000,-23.4401799,-46.5764587
491,02311000,-23.4694571,-46.6001354
492,02374000,-23.4570235,-46.6233494
493,02366000,-23.4768432,-46.6098907
494,02315000,-23.4593686,-46.6006807
495,02330000,-23.4787847,-46.6111979
496,02319000,-23.4462873,-46.5913244
497,02312000,-23.4661766,-46.5993534
498,02341000,-23.4787847,-46.6111979
499,02334000,-20.539119,-47.4143271
500,02347000,-23.4628268,-46.605624
501,02365000,-23.4317687,-46.7324911
502,02375000,-23.4488074,-46.6247867
503,02372000,-23.4581119,-46.6214946
504,02367000,-23.0221669,-43.4607647
505,02343000,-23.4673355,-46.6050097
506,02306000,-23.4768432,-46.6098907
507,02313000,-23.4637044,-46.6013297
508,02305000,-23.4803029,-46.6068887
509,02340000,-23.4787847,-46.6111979
510,02344000,-23.4728349,-46.6134559
511,02348000,-23.4611345,-46.6099445
512,02322000,-23.4473485,-46.5929691
513,02356000,-23.4516092,-46.6145436
514,02352000,-23.454408,-46.5967155
515,02358000,-23.4482947,-46.6079615
516,02308000,-19.9188794,-43.9996246
517,02318000,-23.4523117,-46.5887876
518,02337000,-23.479454,-46.6140769
519,02342000,39.4183156,-9.1994609
520,02355000,-23.4563016,-46.6126265
521,02303000,-23.4823311,-46.6108296
522,02363000,-7.9281608,-34.8642781
523,02324000,-23.4456007,-46.585144
524,02302000,-10.3837398,-37.7088936
525,02350000,-23.4569619,-46.6005528
526,02378000,-23.4670458,-46.6308991
527,02317000,-23.457754,-46.5945184
528,02351000,-23.4547773,-46.600281
529,02301000,-19.938096,-44.0129651
530,02332000,-23.4836493,-46.6225383
531,02376000,-22.8797668,-43.3417669
532,02326000,-23.4475784,-46.5762792
533,02335000,-23.4813173,-46.6152063
534,02346000,-23.4639009,-46.6041647
535,02362000,-28.7141307,-49.4077638
536,02357000,-3.6924756,-40.3756884
537,02329000,-23.4486515,-46.5775707
538,02314000,-23.462925,-46.597963
539,02310000,-23.4764593,-46.6040157
540,02354000,-23.4543393,-46.6029646
541,02320000,-23.4536141,-46.6012693
542,02338000,-2.552928,-44.2171554
543,02331000,-23.4787847,-46.6111979
544,02333000,-23.4836493,-46.6225383
545,02307000,-3.0408095,-59.9303785
546,02336000,-23.4811459,-46.6128483
547,02339000,-19.8533028,-43.9232414
548,02368000,-23.4768432,-46.6098907
549,02359000,-23.4454734,-46.6185844
550,02345000,-23.4673859,-46.6097646
551,02364000,-23.4346952,-46.5809638
552,02304000,-23.4803029,-46.6068887
553,02430000,-23.4712185,-46.6515608
554,02402000,-30.002415,-51.2071182
555,02442000,-23.4730149,-46.6419224
556,02409000,-23.4800151,-46.6242056
557,02467000,-8.7668458,-63.8509673
558,02422000,-23.47159235,-46.637051750718754
559,02441000,-23.4766199,-46.6367949
560,02452000,-23.4967704,-46.6449807
561,02435000,-23.4826871,-46.6411238
562,02464000,-23.4976918,-46.642142
563,02431000,-5.0767637,-42.8259294
564,02478000,-23.4772479,-46.6595913
565,02436000,38.7438862,-9.1529055
566,02473000,-23.4769447,-46.6510143
567,02415000,-23.4570773,-46.6488323
568,02468000,-24.1671655,-46.7567406
569,02401000,-30.002415,-51.2071182
570,02419000,-23.4767062,-46.6382925
571,02479000,-23.47511,-46.6587109
572,02471000,-23.479584199999998,-46.65195906881351
573,02410000,-23.4762574,-46.6237141
574,02420000,-23.4772606,-46.633461
575,02462000,-23.4930231,-46.6404439
576,02461000,-20.4314315,-49.9597869
577,02443000,-23.476579,-46.6457672
578,02403000,-23.4943635,-46.627383113349325
579,02466000,-23.4982523,-46.6414163
580,02404000,-23.4913009,-46.630531
581,02406000,-23.4885888,-46.6314174
582,02474000,-23.4770557,-46.6543269
583,02434000,-27.0187333,-48.6042667
584,02407000,-23.4871115,-46.6239422
585,02421000,-23.474418,-46.6347723
586,02472000,-23.4803071,-46.6559925
587,02470000,-23.4860046,-46.650506
588,02460000,-23.4914473,-46.6365699
589,02475000,-23.4866909,-46.6526364
590,02416000,-23.4802169,-46.629513
591,02418000,-23.472183700000002,-46.6287971576387
592,02413000,-23.4865888,-46.6412524
